Company,Chief Executive Officer,Chief Financial Officer,Chief Operating Officer,President,Director of Acquisitions,Head of Corporate Development,Director of Asset Management,Head of Investor Relations,Chairman of the Board,VP/Head of Exploration,Chief Geologist
Rosita Mining Corporation,John F. Cook,Stephen M. Gledhill,,John F. Cook,,,,,Nicholas Tintor,,
Ross Mining NL,,,,,,,,,,,
Ross River Minerals Inc.,Marcus N. Foster,Robert A. Jamieson,,Marcus N. Foster,,,,,,,
Rössing Uranium Limited,,Shaan Van Schalkwyk,,,,,,,Johannes Gawaxab,,
Rotation Minerals Ltd.,Bradley Clayton Rourke,Brent Petterson,,Bradley Clayton Rourke,,,,,,,
Roughrider Exploration Limited,Scott F. Gibson,Jasmine Lau,,Scott F. Gibson,,,,,Dale Wallster,David W. Tupper,
Routemaster Capital Inc.,Fred Leigh,Ryan Ptolemy,,Fred Leigh,,,,,,,
Rox Resources Limited,Ian Robert Mulholland,Brett Douglas Dickson,,,,,,,Stephen Bruce Dennis,Will Belbin,
Roxgold Inc.,John Dorward,Natacha Garoute,Paul Criddle,John Dorward,,,,,Oliver Lennox-King,,Yan Bourassa
Roxgold Inc.,,,,,,,,,,,
Roxmark Mines Ltd,Philip Fisher Cunningham,George Harrison,,,,,,,Philip Fisher Cunningham,,
Roxwell Gold Mines Ltd.,Alan G. Isaak,,,Alan G. Isaak,,,,,,,
Royal Bafokeng Platinum Limited,Stephen Ditshebo Phiri,Marthinus J. L. Prinsloo,Neil A. Carr,,,,,,Kgomotso Ditsebe Moroka,,
Royal Falcon Minnig LLC,,,,,,,,,,,
"Royal Gold, Inc.",Tony Alan Jensen,Stefan L. Wenger,Mark Isto,Tony Alan Jensen,,,,,William M. Hayes,,
Royal Mines and Minerals Corp.,Kenneth Ian Matheson,,Michael Christopher Boyko,Kenneth Ian Matheson,,,,,,,
Royal Oak Mines Inc.,,,,,,,,,,,
Royal Road Minerals Limited,Timothy James Coughlin,Cindy Davis,,Timothy James Coughlin,,,,,Peter James Mullens,,
Royal Sapphire Corp.,Navraj Pannu,Anthony Jackson,,,,,,,,,
Royal Standard Minerals Inc.,"Lonnie Kirsh, Philip Gross","Daniel Crandall, Ike Makrimichalos",,"Lonnie Kirsh, Philip Gross",,,,,,,
Royalco Resources Limited,Peter John Topham,Nick Boicos,Peter John Topham,Peter John Topham,,,,,Peter John Topham,,
RT Minerals Corporation,Paul F. Antoniazzi,Sandra Wong,,Paul F. Antoniazzi,,,,,,,
RTG Mining Inc.,Justine Alexandria Magee,Nicholas F. Day,Mark Turner,Justine Alexandria Magee,,,,,Michael Joseph Carrick,Mark Turner,
Rubamin Ltd.,,Sanjay Dudhoria,,,,Ankur Shah,,,,,
Rubianna Resources Limited,,Ian Hobson,,,,,,,Philip Crutchfield,Matthew Ian Svensson,
Rubicon Minerals Corporation,George O'Neil Ogilvie,Nicholas J. Nikolakakis,,George O'Neil Ogilvie,,,,,Julian B. Kemp,,
Ruby Creek Resources Inc.,Robert Slavik,,Bob Gray,Robert Slavik,,,,,,,
Rugby Mining Limited,Paul Joyce,Alejandro Adams,,Paul Joyce,,,,,Bryce G. Roxburgh,,Francisco Montes
Rumble Resources Limited,Shane Sikora,,,,,,,,,,
Running Fox Resource Corporation,Michael Meyers,Wayne Waters,,Michael Meyers,,,,,,,
Rupert Resources Limited,James Withall,Robert D. B. Suttie,,Brian A. Hinchcliffe,,Thomas Credland,,,Brian A. Hinchcliffe,,
Rusaf Gold Ltd (Great Basin Gold),,,,,,,,,,,
Rusina Mining Ltd.,,,,,,,,,,,
Rusoro Mining Limited,Andre Agapov,Jessica Van Den Akker,,Andre Agapov,,,,,Vladimir Agapov,,
Russian Copper Company,,Schibrik Maksim Yurievich,,Levin Vsevolod Vadimovich,,,,,,,
Rutila Resources Limited,Nicholas Curtis,,,,,,,,Nicholas Curtis,,
RX Gold & Silver Inc.,,,,,,,,,,,
Ryan Gold Corp.,Mark E. Goodman,Orest Zajcew,,Mark E. Goodman,,,,,Peter C. McRae,,Andy Randell
Rye Patch Gold Corp.,William C. Howald,Antony Wood,,William C. Howald,,,,,Jonathan Challis,Ronaldo Marcio Pinto da Silva,Ronaldo Marcio Pinto da Silva
S2 Resources Limited,Mark Anthony Bennett,Su-Mei Chan,,,,,,,Jeffrey Dowling,John Bartlett,
SA Metals Pty Ltd,William Beckwith Hayden,,,,,,,,,,
Sabina Gold & Silver Corp.,D. Bruce McLeod,Elaine Bennett,,D. Bruce McLeod,,,,,,Angus Campbell,
Sable Mining Africa Limited,Andrew Stuart Groves,Andrew R. Burns,,,,,,,,,Richard Rice
Sable Resources Ltd.,Thomas J. Obradovich,Andrew Malashewsky,,Thomas J. Obradovich,,,,,,,
Sabre Resources Ltd.,,,,,,,,,,,
"Sacre-Coeur Minerals, Ltd.",,,,,,,,,,,
Sadovaya Group S.A.,,,,,,,,,,,
Sagalio Energy Limited,Luwu Yang,,,,,,,,Hap Lee King,,
Sage Gold Inc.,C. Nigel Lees,David McDonald,,C. Nigel Lees,,,,,Patrick J. Mars,,William D. Love
Sainik Mining and Allied Services Ltd.,Kuldeep Singh Solanki,,,,,,,,,,
Saint Jean Carbon Inc.,Paul A. Ogilvie,Barry A. Pearson,,William E. Pfaffenberger,,,,,Paul A. Ogilvie,,
Salares Lithium Inc,,,,,,,,,,,
Salazar Resources Limited,Freddy Enrique Salazar,Pablo Acosta,,Freddy Enrique Salazar,,,,,,Francisco Soria Venegas,
Salisbury Resources Ltd.,David Costello,,,,,,,,Leslie Mann,,
Salt Lake Potash Limited,Matthew Gordon Syme,Sam Cordin,Will Longworth,,,,,,Ian Peter Middlemas,,
Salta Exploraciones SA,William J. McWilliam,,,,,,,,,,
Sama Resources Inc.,Marc-Antoine Audet,Isabelle Gauthier,,Marc-Antoine Audet,,,,,Benoit La Salle,Marc-Antoine Audet,
Samax Gold Inc.,,,,,,,,,,,
Samba Minerals Ltd.,,,,,,,,,,,
Samco Gold Limited,Charles Koppel,Matthias Hauger,,,,,,,Charles Koppel,,
SAMEX Mining Corporation,,,,,,,,,,,
Samson Oil and Gas Limited,Terence Maxwell Barr,Robyn Lamont,Mark Ulmer,Terence Maxwell Barr,,,,,Peter Braden J. Hill,,
San Anton Resources Corporation Inc.,John F. Cook,,,John F. Cook,,Robert J. Stewart,,,,,
San Gold Corporation,Gregory Gibson,Mandeep Rai,,,,,,,Robert B. Brennan,Michael Michaud,
San Marco Resources Inc.,Robert David Willis,Fernando J. Costa,,Robert David Willis,,,,,Robert Stuart Angus,,
San Miguel Corporation,Eduardo M. Cojuangco Jr.,Ferdinand K. Constantino,Ramon S. Ang,Ramon S. Ang,,,,,Eduardo M. Cojuangco Jr.,,
Sanatana Resources Inc.,Peter L. Miles,Simon J. Anderson,,Peter L. Miles,,,,,,Buddy James Doyle,
Sandfire Resources NL,Karl Matthew Simich,Matthew L. Fitzgerald,Martin Reed,,,,,,Derek La Ferla,Bruce Hooper,Shannan Bamforth
Sandspring Resources Limited,Richard A. Munson,Jessica Van Den Akker,,,,,,,John R. Adams,,
Sandstorm Gold Ltd.,Nolan Watson,Erfan Kazemi,,Nolan Watson,,Adam Spencer,,,David E. De Witt,Keith Laskowski,
Sandstorm Metals & Energy Ltd.,Nolan Watson,Erfan Kazemi,,Nolan Watson,,,,,David E. De Witt,,
Sandy Lake Gold Inc.,Daniel Noone,Marie-Josee Audet,,Daniel Noone,,,,,Michele McCarthy,,
Santa Barbara Resources Limited,Christoph Lassl,Dan O'Brien,,Christoph Lassl,,,,,,,
Santa Cruz Gold Inc.,,,,,,,,,,,
Santa Fe Gold Corporation,Thomas Laws,Frank G. Mueller,,Thomas Laws,,,,,Erich Hofer,,
Santa Fe Metals Corporation,Scott E. Broughton,Scott E. Broughton,,Scott E. Broughton,,,,,Ian B. Smith,,
Santacruz Silver Mining Ltd.,Arturo Préstamo Elizondo,Robert G. McMorran,Dante Montes Rodriguez,Arturo Préstamo Elizondo,,,,,,,
Santana Minerals Limited,Anthony John McDonald,Craig J. McPherson,,,,,,,Norman Alfred Seckold,,Jason Beckton
Sanu Resources Ltd.,,Susan G. Neale,,,,,,,Paul K. Conibear,,
Saracen Mineral Holdings Limited,Raleigh John Finlayson,Morgan Scott Ball,Raleigh John Finlayson,,,William T. Irvin,,,Geoffrey Clifford,Daniel Howe,Daniel Howe
Sarama Resources Limited,Andrew Dinning,Lui Evangelista,,Andrew Dinning,,Paul R. Schmiede,,,Terence Sean Harvey,John Hamilton,
Sardich MC,,,,,,,,,,,
Sargold Resource Corp,,,,,,,,,,,
Sarissa Resources Inc.,,Daniel M. Byrnes,Benjamin A. Ward,Daniel M. Byrnes,,,,,,,
Sasol Limited,"Bongani Nqwababa, Stephen R. Cornell",Paul Victor,,"Bongani Nqwababa, Stephen R. Cornell",,,,,Mandla S.V. Gantsho,,
SAT & Company JSC,Nurlan Saurambayev,Rumiya Shafkhatovna Sagitova,,,,,,,Kenges Rakishev,,
Satori Resources Inc.,William Ansley,Julio DiGirolamo,,William Ansley,,,,,Bruce D. Reid,,
Saturn Minerals Inc.,John Jeffrey,Scott Davis,Scott Newman,,,,,,,,
Saudi Arabian Mining Company,Khalid bin Saleh Al-Mudaifer,Darren C. Davis,,Khalid bin Saleh Al-Mudaifer,,Khaled Bin Sulaiman Alohali,,,Khalid bin Abdulaziz Al?Faleh,,
Savage Resources Ltd.,,,,,,,,,,,
Savanna Diamonds (Pty.) Ltd.,,,,,,,,,,,
Savannah Resources Plc,David S. Archer,Michael McGarty,,,,,,,Matthew J. King,Dale J. Ferguson,Dale J. Ferguson
Savant Explorations Ltd.,Patrick McGrath,Varun Prasad,,Patrick McGrath,,,,,,,
Savary Gold Corp.,Don Dudek,Gregory Duras,,Don Dudek,,,,,Daniel Nocente,,
Saville Resources Inc.,Man Fai Chen,Zhi Gang Ding,,Man Fai Chen,,,,,,,
Savitar Exploration Ltd.,,,,,,,,,,,
Savoy Resources Corp.,Arthur V. Johnson,Arthur V. Johnson,,Arthur V. Johnson,,,,,,,
Sayona Mining Limited,Corey Nolan,,,,,,,,,Simon Attwell,
Scandinavian Highlands Holding A/S,,,,,,,,,,,
Scandinavian Minerals Ltd,,,,Peter Walker,,,,,,,
Scandinavian Resources Pty Ltd,,,,,,,,,,,
Scandium International Mining Corp.,George F. Putnam,Edward H. Dickinson,,George F. Putnam,,,,,William B. Harris,,
Scarborough Minerals plc,,,,,,,,,,,
Scavo Resources Corp.,Giovanni Gasbarro,Bruno Gasbarro,,Giovanni Gasbarro,,,,,,,
Scorpio Gold Corporation,Brian Lock,Gilbert Comtois,,Chris Zerga,,,,,Peter J. Hawley,,
Scorpio Mining Corporation,,,,,,,,,,,
Scorpio Mining Inc.,Darren John Blasutti,Warren Varga,Robert M. Taylor,Darren John Blasutti,,,,,Gordon E. Pridham,James R. Atkinson,
Scotgold Resources Limited,Richard Quentin Gray,David John Swan,,,,,,,Nathaniel Bernard Le Roux,,
ScoZinc Mining Ltd.,Joseph P. Ringwald,Robert D. B. Suttie,,Joseph P. Ringwald,,,,,Victor Lazarovici,,
Seaborne Minerals Inc.,Toma Sam Sojonky,,,Toma Sam Sojonky,,,,,,,
Seabridge Gold Inc.,Rudi P. Fronk,Christopher J. Reynolds,Jay S. Layman,Jay S. Layman,,,,,Rudi P. Fronk,William E. Threlkeld,
"Seafield Resources, Ltd.",David Prins,,,David Prins,,,,,David Prins,Giovanny Ortiz,
Seahawk Minerals Ltd.,Christopher W. Taylor,,Jean-Marc Lopez,Christopher W. Taylor,,,,,Jean-Pierre Lefebvre,,
Search Minerals Inc.,Gregory Andrews,Matthew J. Anderson,,Gregory Andrews,,,,,James D. Clucas,Randy Miller,
SearchGold Resources Inc.,,,,,,,,,,,
Searchlight Minerals Corp.,Martin B. Oring,Martin B. Oring,,Martin B. Oring,,,,,Martin B. Oring,,
SECOS Group Limited,Stephen Walters,Edmond Tern,,,,Trevor Hanes,,,Richard Tegoni,,
Secova Metals Corp.,P. Bradley Kitchen,Sean Kingsley,,Morgan Good,,,,,P. Bradley Kitchen,,
Sedex Mining Corp.,Alan D. Campbell,,,Alan D. Campbell,,,,,,,
Sedibelo Platinum Mines Limited,Thomas Graham Dale,Craig W. Shaw,Casper Badenhorst,,,,,,Brian Patrick Gilbertson,,
Sedimentary Holdings Ltd,,,,,,,,,Peter J. Maloney,,
Seen On Screen Tv Inc.,,,,,,,,,,,
Sego Resources Inc.,John Paul Stevenson,Brent Petterson,,John Paul Stevenson,,,,,,,
Segue Resources Limited,Steven Michael,,,,,,,,,Dean Tuck,
Select Exploration Limited,,,,,,,,,,,
Select Sands Corporation,Zigurds R. Vitols,Darren C. Urquhart,Rasool Mohammad,Zigurds R. Vitols,,,,,,,
Select Vaccines Ltd.,,,,,,,,,,,
Selkirk Metals Corp.,,,,,,,,,,,
Selwyn Mines Ltd.,William James Howe,,,,,,,,,,
SEMAFO Inc.,Benoit Desormeaux,Martin Milette,,Benoit Desormeaux,,,,,Jean Lamarre,Michel A. Crevier,Michel A. Crevier
Semirara Mining and Power Corporation,Isidro A. Consunji,Junalina S. Tabor,Victor A. Consunji,Victor A. Consunji,,,,,Isidro A. Consunji,,Elson J. Crisologo
Senator Minerals Inc.,Timothy C. Fernback,Marco Parente,,Timothy C. Fernback,,,,,,,
Sendero Mining Corp.,John W. Seaman,John W. Seaman,Tom Healy,Diego Benalcazar,,Daniel Sorger,,,John W. Seaman,,
Sennen Potash Corporation,Ian Terry Rozier,Barbara Eileen Dunfield,,Ian Terry Rozier,,,,,,,
Sentula Mining Limited,Jacques Christiaan Badenhorst,Johann Casper Lemmer,,,,,,,Ralph B. Patmore,,
Sephaku Holdings Ltd.,Lelau Mohuba,Neil Robus Crafford-Lazarus,,,,,,,Brent Williams,,
Serabi Gold Plc,Michael Jonathan Hodgson,Clive M. Line,,,,,,,Melvyn Williams,,
Serengeti Resources Incorporated,David W. Moore,Sheri Rempel,,David W. Moore,,,,,,,
Servicepoint Ltd.,,,,,,,,,,,
Servicio Nacional de Geología y Técnico de Minas,,,,,,,,,,,
SGX Resources Inc.,Bruce D. Reid,Julio DiGirolamo,,Bruce D. Reid,,,,,,,"John R. Boissoneault, Peter Caldbick"
Shaanxi Coal Industry Company Limited,Long Min,Xiaogang Wang,,,,,,,? ??,,
"Shaanxi Heimao Coking Co., Ltd.",? ??,? ??,,,,,,,? ??,,
"Shaanxi Non-ferrous Metals Holding Group Co., Ltd.",,,,,,,,,,,
Shahuindo Gold Limited,,Denis C. Arsenault,Joseph Milbourne,C. Justin Reid,,,,,,Stéphane Amireault,
Shalina Resources Ltd,,,,,,,,,,,
Shalkiya Zinc Ltd LLP,,Alken Kuanbay,,,,,,,,,
Shamika 2 Gold Inc.,David Bercusson,,,David Bercusson,,,,,,,
Shamrock Enterprises Inc.,Robert Faris,Robert Faris,,Robert Faris,,,,,,,
"Shandong Gold Mining Co., Ltd.",,Wang Peiyue,,,,,,,Li Guohong,,
Shandong Guoda Gold Company Limited,,,,,,,,,,,
Shandong Iron and Steel Company Limited,Luo Dengwu,Wei Kechao,,,,,,,? ??,,
Shandong Provincial Bureau of Geology and Mi,,,,,,,,,,,
Shandong Tarzan Biogold Co (Sino Gold),,,,,,,,,,,
Shandong Tianye Group,,,,,,,,,,,
Shane Resources Ltd.,,,,,,,,,,,
"Shanghai Datun Energy Resources Co., Ltd.",? ??,? ??,,,,,,,? ??,,
Shannon Resources Pty Ltd,,,,,,,,,,,
Shanta Gold Limited,Toby Jonathan Bradbury,Eric Zurrin,,,,,,,Anthony Peter Wynn Durrant,Peet Prinsloo,
"Shanxi Lanhua Sci-tech Venture Co., Ltd.",? ??,? ??,,,,,,,? ??,,
"Shanxi Lu'an Environmental Energy Development Co., Ltd",? ??,? ?,,,,,,,? ??,,
Shaw River Manganese Limited,,,,,,,,,,Braam Jankowitz,Braam Jankowitz
Shear Diamonds Ltd.,Julie Lassonde-Gray,,,Julie Lassonde-Gray,,,,,,,
Shearwater Group plc,Michael Joseph Stevens,Christopher J. Eadie,,,,,,,David Jeffreys Williams,,
Sheen Resources Ltd.,,Nathalie Pilon,,,,,,,,,
Shefa Yamim Ltd.,Abraham Taub,,,,,,,,Shimon Heiblom,,
Sheffield Resources Limited,Bruce McFadzean,Mark Di Silvio,Stuart James Pether,,,,,,William John Vaughan Burbury,,David S. Archer
Sheffield Resources Ltd.,,,,,,,,,,,
Sheltered Oak Resources Corp.,Jacob J. Elkin,,,,,,,,Robert K. Hanson,,
Shenzhen Zhongjin Lingnan Nonfemet Company Limited,,? ?,,? ?,,,,,? ??,,
Sherritt International Corporation,David V. Pathe,Andrew Snowden,Stephen Wood,David V. Pathe,,,,,David V. Pathe,,
Sherwin Iron Limited,Rodney Illingworth,Xi Liang,,,,,,,Rodney Illingworth,,
Sherwood Copper Corp,,,,,,,,,,,
Shindong Enercom Inc.,,,,,,,,,,,
Shore Gold Inc.,Kenneth E. MacNeill,Greg P. Shyluk,,Kenneth E. MacNeill,,,,,Brian M. Menell,George H. Read,
Shoshone Silver/Gold Mining Company,Howard M. Crosby,"John P. Ryan, John Ryan",,Howard M. Crosby,,,,,Gregory Charles Smith,,
Shoshoni Gold Ltd.,Glen C. MacDonald,Christopher P. Cherry,,Glen C. MacDonald,,,,,,,
Shougang Concord International Enterprises Company Limited,Shaofeng Li,,,,,,,,Bingcheng Zhang,,
Shougang Fushan Resources Group Limited,Rucai Ding,,,,,,,,Shaofeng Li,,
Shree Minerals Limited,Sanjay Kumar Loyalka,Sanjay Kumar Loyalka,,,,,,,Rajesh Bothra,,
Sibanye Gold Limited,Neal J. Froneman,Charl Keyter,,,,,,,Matthews Sello Moloko,,
Siberia Mining Corporation Pty Ltd,,,,,,,,,,,
Siberian Diamonds Ltd.,,,,,,,,,,,
Siburan Resources Limited,,,,,,,,,,,
"Sichuan Hongda Co., Ltd.",? ??,? ?,,,,,,,? ??,,
Sichuan Western Resources Holding Co. Ltd.,,? ??,,,,,,,? ??,,
Sienna Resources Inc.,,Cindy Cai,,Jason Gigliotti,,James Nelson,,,,,
Sierra Gold Corp.,,,,,,,,,,,
Sierra Madre Developments Inc.,Carl Alexander Von Einsiedel,Ezra Jimenez,,,,,,,,,
Sierra Metals Inc.,,,,,,,,,,,
Sierra Metals Inc.,Igor Alcides Gonzáles Galindo,Edmundo Guimaraes,Gordon J. Babcock,Igor Alcides Gonzáles Galindo,,Michael McAllister,,,J. Alberto Arias,Alonso Lujan,
Sierra Minerals Inc,,,,,,,,,,,
Sierra Mining Limited,,,,,,,,,,,
Sierra Rutile Limited,Rob Hattingh,Matthew Hird,Shane Tilka,,,,,,Robert Willem John Edwards,,
Signature Gold Ltd,,,Alexander Teluk,,,,,,John Hewson,,
Signature Metals Limited,Chris Gbyl,Catherine Officer,,,,,,,Soo Khoon Tan,,
Signature Resources Limited,Walter Hanych,Jonathan Held,,Walter Hanych,,,,,,,
Signet Minerals Inc.,,Brian D. Cebryk,,,,,,,,,
Sihayo Gold Limited,Malcolm Paterson,Daniel Garry Nolan,,,,,,,Misha Anthony Collins,,
Silk Road Resources Ltd,,,,,,,,,,,
Silver Bear Resources Incorporated,Graham Hill,Vadim Ilchuk,,Graham Hill,,Hannes Portmann,,,Christopher Westdal,,
"Silver Bull Resources, Inc.",Timothy Barry,Sean Fallis,,Timothy Barry,,,,,Brian D. Edgar,Mark Pfau,
Silver City Minerals Limited,Christopher Torrey,Michelle Lilley,,,,,,,Robert Ellis Besley,Robert Gordon,
Silver Dragon Resources Inc.,Marc M. Hazout,Marc M. Hazout,,Marc M. Hazout,,,,,,,David G. Wahl
Silver Eagle Mines Inc.,Terrence H. Byberg,Adolfo F. Vera,,Terrence H. Byberg,,,,,John W. W. Hick,,
"Silver Falcon Mining, Inc.",Pierre Quilliam,Thomas C. Ridenour,Christian Quilliam,,,Pascale Tutt,,,Pierre Quilliam,,
Silver Fields Resources Inc.,Christopher D. England,Colin R. Bowdidge,,Christopher D. England,,,,,,Colin R. Bowdidge,
Silver Grail Resources Ltd.,Dino M. Cremonese,Robert G. Smiley,,Dino M. Cremonese,,,,,,Amanda Mullin,Amanda Mullin
Silver Lake Resources Limited,Luke Tonkin,Diniz Cardoso,Luke Tonkin,Luke Tonkin,,,,,David Francis Quinlivan,Antony Shepherd,Antony Shepherd
Silver Mines Limited,Anthony John McClure,Trent Franklin,,,,,,,Keith Gascoyne Perrett,,
Silver Mountain Mines Inc.,Stephen Konopelky,Stuart Crichton,,Stephen Konopelky,,,,,Rino Vincent Goegan,,
Silver One Mining Corp.,,,,,,,,,,,
Silver One Resources Inc.,Gregory G. Crowe,Carmen Amezquita Hernandez,,Gregory G. Crowe,,,,,Luke Norman,,
Silver Phoenix Resources Inc.,William James Murray,Roxann Marie Murray,,William James Murray,,,,,,,
Silver Predator Corporation,John T. Rickard,Weiying Zhu,,,,,,,Nathan A. Tewalt,Thomas H. Chadwick,
Silver Pursuit Resources Limited,Brian A. McClay,Peter Watson,,Brian A. McClay,,,,,,,
Silver Range Resources Ltd.,Michael A. Power,Larry B. Donaldson,Ian J. Talbot,Michael A. Power,,,,,,,
"Silver Scott Mines, Inc.",,,Mel Hedrick,,,,,,Roy Shipes,,
Silver Spruce Resources Inc.,Karl J. Boltz,Gordon Barnhill,,Karl J. Boltz,,,,,Brian K. Penney,,
Silver Standard Resources Inc.,Paul Benson,Gregory John Walton Martin,Alan N. Pangbourne,Paul Benson,,,,,A. Edward Michael Anglin,,F. Carl Edmunds
Silverado Gold Mines Limited,,,,,,,,,,,
Silvercorp Metals Inc.,Rui Feng,Derek Liu,,,,Gordon K. Neal,,,Rui Feng,Alex Zhang,
SilverCrest Metals Inc.,Nathan Eric Fier,Anne Yong,,Nathan Eric Fier,,,,,Graham C. Thody,,
SilverCrest Mines Inc.,"J. Scott E. Drever, John Scott Drever",Barney Magnusson,Nathan Eric Fier,Dunham Lewis Craig,,Marcio Bastos Fonseca,,,Graham C. Thody,,
Silvermet Inc.,Stephen G. Roman,Ian D. Atacan,,Stephen G. Roman,,,,,Stephen G. Roman,,
Silvermet Inc.,,,,,,,,,,,
Silvermex Resources Inc.,,,,,,,,,,,
Silverstone Resources Corp,Darren M. Pylot,,,Darren M. Pylot,,,,,,,
Silvore Fox Minerals Corporation,,,,,,,,,,,
Simba Energy Inc.,Punkaj Gupta,,Hassan Hassan,Robert G. Dinning,,,,,John King Burns,,
Simba Gold Corp.,Igor Vishnevskiy,Simon J. Anderson,,Igor Vishnevskiy,,Bijay Singh,,,John David Anderson,,
Simba Mines Inc.,,,David Furlong,,,,,,,,
"Simmer and Jack Mines, Limited",Daniel Watson,Daniel Watson,Christiaan Albertus Vermeulen,,,,,,,,
Sinchi Wayra S.A.,Jaime Urgel,,,Jaime Urgel,,,,,,,
Sino Gold Mining Pty Limited,,,,,,,,,James Edward Askew,,
Sino Minerals Corp.,,,,,,,,,,,
Sino Prosper (Group) Holdings Limited,,Wei Hua Wu,,,,,,,Ngai Man Leung,,
Sino Silver Corp.,,,Anthony England,,,,,,Ian G. Park,,
Sino Vanadium Inc.,Liu Bingqiang,Wingfield Ding,,Liu Bingqiang,,,,Robin M. Sundstrom,Ma Zhaoyang,,
Sinosteel Corporation,Siwei Xu,,,,,,,,,,
Sinovus Mining Limited,Stephen Wee,Nick Tropea,,,,,,,David Henty Sutton,,
Sintana Energy Inc.,Douglas G. Manner,Carmelo Marrelli,David L. Cherry,David L. Cherry,,,,,Keith Dean Spickelmier,,
Sipa Resources Limited,Lynda Margaret Burnett,Tara Ann Robson,,,,,,,Craig Ian McGown,,Peter Neumayr
Sirios Resources Inc.,Dominique Doucet,Frédéric Sahyouni,,Dominique Doucet,,,,,Gilles Dupuis,,
Sirit Inc.,,,,,,,,,,,
Sirius Minerals Plc,Christopher N. Fraser,Thomas Jay Staley,,,,,,,Russell John Scrimshaw,,
Sirius Resources NL,Mark Anthony Bennett,Grant Dyker,Rob Dennis,,,,,,Jeffrey Dowling,,John Bartlett
Sirocco Mining Inc.,Richard P. Clark,Alessandro Bitelli,Kevin J. Ross,Richard P. Clark,,,,,,Hugh Stuart,
SK Energy Co. Ltd.,Bong Kyoon Park,,,,,,,,,,
Skeena Resources Limited,Walter Coles Jr.,Andrew MacRitchie,Michael S. Cathro,Walter Coles Jr.,,Fredrik Stanton,,,Ronald K. Netolitzky,J. Rupert Allan,Ron Nichols
Sky Digital Stores Corp.,,,,,,,,,,,
Skybridge Development Corp.,,,,,,,,,,,
Skye Resources Inc,,,,,,,,,,,
Skyharbour Resources Ltd.,Jordan Trimble,James G. Pettit,,Jordan Trimble,,,,,James G. Pettit,,Richard T. Kusmirski
SLAM Exploration Ltd.,Michael R. Taylor,Eugene Beukman,,Michael R. Taylor,,,,,,,
Sloane Petroleums Inc.,,,,,,,,,,,
SLW Minerals Corporation Pty Limited,,,,,,,,,,,
SmartTrans Holdings Limited,Bryan E. Carr,James Brooke,Brendan Mason,,,,,,Mark Anthony James Vaile,,
Smash Minerals Corp.,,,,,,,,,,,
SML Corporation Limited,,,,,,,,,Kiat Poh,,
Sniper Resources Ltd.,Scott David Baxter,,,Scott David Baxter,,,,,,,
SnipGold Corporation,John Zbeetnoff,Tim C. Thiessen,,John Zbeetnoff,,,,,Patrick Soares,,
SNL Metals & Mining,,,,,,,,,,,
Snow Peak Mining Pty Ltd,,,,,,,,,,,
Snowfield Development Corp.,,,,,,,,,,,
Sociedad Chilena de Litio Ltda (Rockwood Lithium),,,,,,,,,,,
Sociedad Gareste Limitada,,,,,,,,,,,
"Sociedad Minera Corona, S.A.",Daniel Carlos Villanueva Ortiz,,Lenin Salazar Dulanto,,,,,,Mark Brennan,,
Sociedad Minera El Brocal S.A.A.,Gonzalo Eyzaguirre Tejeda,Nelly Victoria Taboada Saavedra,,,,,,,José Miguel Morales Dasso,,
Sociedad Punta del Cobre S.A.,Sebastián Ríos Rivas,Hugo Flores Galleguillos,,,,,,,Juan José Hurtado Vicuña,,
Sociedad Quimica y Minera de Chile S.A.,Patricio de Solminihac Tampier,Ricardo Ramos Rodríguez,Patricio de Solminihac Tampier,,,,,,Eugenio Ponce Lerou,Pablo Altimiras,Sergio Alarcón
"Sociedade Mineira de Catoca, Lda.",Sergei Amelin,David Mishal,,,,,,,,,
Société d'Exploration Minière Vior Inc.,Claude St-Jacques,Gaétan Mercier,,Claude St-Jacques,,,,,Claude St-Jacques,Marc L'Heureux,
Softrock Minerals Ltd.,Nick Taylor,Thomas M. M. Bender,,,,,,,,,
Sojitz Corporation,Masayoshi Fujimoto,Seiichi Tanaka,,Masayoshi Fujimoto,,,,,Yoji Sato,,
Sojourn Ventures Inc.,Joel Dumaresq,John Meekison,,Joel Dumaresq,,,,,,,
Sokoman Iron Corporation,Timothy Froude,John A. Ryan,,Timothy Froude,,,,,,Timothy Froude,
Solagran Ltd.,Darren M. Schliebs,,Geoff Webster,,,,,,Vagif Soultanov,,
Solbec Pharmaceuticals Ltd.,,,,,,,,,,,
Solfotara Mining Corp.,Brian A. Lueck,,Brian A. Lueck,Brian A. Lueck,,,,,,,
SolGold Plc,Nicholas Mather,Priyanka Sampath Jayasuriya,,,,,,,Brian Moller,Jason Ward,
Solid Gold Resources Corp.,Andre Tanguay,Alan Myers,,,,,,,,,
SolidusGold Inc.,Sorin Posescu,Kara Norman,,Sorin Posescu,,,,,"Raj I. Chowdhry, Rick Van Nieuwenhuyse",,
Solitario Exploration & Royalty Corp.,Christopher E. Herald,James R. Maronick,Walter H. Hunt,Christopher E. Herald,,,,,Brian M. Labadie,,
Soltera Mining Corporation,Fabio Montanari,Fabio Montanari,,,,,,,,,
